elevator_id,location,license_status,license_expiry
11232,570 SHAW ST  TORONTO M6G 3L6 ON CA,ACTIVE,2017-09-01
11234,570 SHAW ST  TORONTO M6G 3L6 ON CA,ACTIVE,2017-09-01
11237,725 BATHURST ST CENTRAL TECHNICAL SCHOOL TORONTO M5S 2R5 ON CA,ACTIVE,2017-09-01
11238,725 BATHURST ST CENTRAL TECHNICAL SCHOOL TORONTO M5S 2R5 ON CA,ACTIVE,2017-09-01
11240,800 GREENWOOD AVE DANFORTH COLL & TECH INST TORONTO M4J 4B7 ON CA,ACTIVE,2017-09-01
11241,851 MOUNT PLEASANT RD NORTHERN SS TORONTO M4P 2L5 ON CA,ACTIVE,2017-09-01
11242,851 MOUNT PLEASANT RD NORTHERN SS TORONTO M4P 2L5 ON CA,ACTIVE,2017-09-01
11250,600 BAY ST  TORONTO M5G 1M6 ON CA,ACTIVE,2017-05-15
11252,10 ADELAIDE ST E  TORONTO M5C 1J3 ON CA,ACTIVE,2017-08-15
11253,144 KING ST E  TORONTO M5C 1G8 ON CA,ACTIVE,2017-04-15
11254,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
11255,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
11256,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
11257,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
11258,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
11259,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
1126,2072 RIVERSIDE DR  WALKERVILLE N8Y 4S5 ON CA,ACTIVE,2017-09-15
11260,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
11261,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
11262,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
11263,25 KING ST W  TORONTO M5H 1A1 ON CA,ACTIVE,2017-08-01
11272,214 KING ST W  TORONTO M5H 3S6 ON CA,ACTIVE,2017-03-15
11273,221 DUFFERIN ST  TORONTO M6K 1Y9 ON CA,PENDING_RENEWAL,2017-08-03
11275,100 JAMESON AVE  TORONTO M6K 2X8 ON CA,ACTIVE,2017-01-11
11276,100 JAMESON AVE  TORONTO M6K 2X8 ON CA,ACTIVE,2017-02-03
11277,54 POLSON ST  TORONTO M5A 1A5 ON CA,ACTIVE,2017-02-15
11278,330 UNIVERSITY AVE  TORONTO M5G 1R8 ON CA,ACTIVE,2017-11-15
11279,330 UNIVERSITY AVE  TORONTO M5G 1R8 ON CA,ACTIVE,2017-11-15
11280,330 UNIVERSITY AVE  TORONTO M5G 1R8 ON CA,ACTIVE,2017-11-15
11281,330 UNIVERSITY AVE  TORONTO M5G 1R8 ON CA,ACTIVE,2017-11-15
11282,330 UNIVERSITY AVE  TORONTO M5G 1R8 ON CA,ACTIVE,2016-12-14
11283,330 UNIVERSITY AVE  TORONTO M5G 1R8 ON CA,ACTIVE,2016-12-13
11288,320 BAY ST  TORONTO M5H 4A6 ON CA,ACTIVE,2017-05-06
