ElevatingDevicesNumber,LocationoftheElevatingDevice,ElevatingDevicesLicenseNumber,LICENSESTATUS,LICENSEEXPIRYDATE,LICENSEHOLDER,LICENSEHOLDERACCOUNTNUMBER,LICENSEHOLDERADDRESS,BILLINGCUSTOMER,BILLINGADDRESS,BILLINGACCOUNT
35695,165 FRONT ST E  TORONTO M5A 3Z4 ON CA,EDLIC-035695,ACTIVE,15-Nov-17,YOUNG PEOPLES THEATRE,data redacted,165 FRONT ST E  TORONTO ON M5A 3Z4 CA,YOUNG PEOPLES THEATRE,"165 FRONT ST E  TORONTO, ON, M5A 3Z4, CA",data redacted
35699,777 BAY ST  TORONTO M5G 2C8 ON CA,258054,ACTIVE,14-Dec-16,777 BAY LIMITED PARTNERSHIP,data redacted,777 BAY ST SUITE 427 TORONTO ON M5G 2C8 CA,777 BAY LIMITED PARTNERSHIP,"777 BAY ST SUITE 427 TORONTO, ON, M5G 2C8, CA",data redacted
357,21 DON VALLEY PKWY  TORONTO M4M 1B6 ON CA,202489,ACTIVE,26-Nov-17,FIRST GULF DON VALLEY LTD,data redacted,3751 VICTORIA PARK AVE  TORONTO ON M1W 3Z4 CA,FIRST GULF DON VALLEY LTD,"3751 VICTORIA PARK AVE  TORONTO, ON, M1W 3Z4, CA",data redacted
3570,3276 ST CLAIR AVE E  SCARBOROUGH M1L 1W1 ON CA,EDLIC-003570,ACTIVE,15-Mar-17,PROVIDENCE HEALTHCARE CENTRE,data redacted,3276 ST CLAIR AVE E  SCARBOROUGH ON M1L 1W1 CA,PROVIDENCE HEALTHCARE CENTRE,"3276 ST CLAIR AVE E  SCARBOROUGH, ON, M1L 1W1, CA",data redacted
35700,777 BAY ST  TORONTO M5G 2C8 ON CA,258056,ACTIVE,14-Dec-16,777 BAY LIMITED PARTNERSHIP,data redacted,777 BAY ST SUITE 427 TORONTO ON M5G 2C8 CA,777 BAY LIMITED PARTNERSHIP,"777 BAY ST SUITE 427 TORONTO, ON, M5G 2C8, CA",data redacted
35701,777 BAY ST  TORONTO M5G 2C8 ON CA,258059,ACTIVE,14-Dec-16,777 BAY LIMITED PARTNERSHIP,data redacted,777 BAY ST SUITE 427 TORONTO ON M5G 2C8 CA,777 BAY LIMITED PARTNERSHIP,"777 BAY ST SUITE 427 TORONTO, ON, M5G 2C8, CA",data redacted
35702,777 BAY ST  TORONTO M5G 2C8 ON CA,258061,ACTIVE,14-Dec-16,777 BAY LIMITED PARTNERSHIP,data redacted,777 BAY ST SUITE 427 TORONTO ON M5G 2C8 CA,777 BAY LIMITED PARTNERSHIP,"777 BAY ST SUITE 427 TORONTO, ON, M5G 2C8, CA",data redacted
35703,777 BAY ST  TORONTO M5G 2C8 ON CA,258063,ACTIVE,14-Dec-16,777 BAY LIMITED PARTNERSHIP,data redacted,777 BAY ST SUITE 427 TORONTO ON M5G 2C8 CA,777 BAY LIMITED PARTNERSHIP,"777 BAY ST SUITE 427 TORONTO, ON, M5G 2C8, CA",data redacted
35704,777 BAY ST  TORONTO M5G 2C8 ON CA,258064,ACTIVE,14-Dec-16,777 BAY LIMITED PARTNERSHIP,data redacted,777 BAY ST SUITE 427 TORONTO ON M5G 2C8 CA,777 BAY LIMITED PARTNERSHIP,"777 BAY ST SUITE 427 TORONTO, ON, M5G 2C8, CA",data redacted
35705,777 BAY ST  TORONTO M5G 2C8 ON CA,258065,ACTIVE,14-Dec-16,777 BAY LIMITED PARTNERSHIP,data redacted,777 BAY ST SUITE 427 TORONTO ON M5G 2C8 CA,777 BAY LIMITED PARTNERSHIP,"777 BAY ST SUITE 427 TORONTO, ON, M5G 2C8, CA",data redacted
35706,DUKE ST  DRYDEN P8N 2Z7 ON CA,EDLIC-035706,CANCELLED_NOT_RENEWED,15-Apr-09,DOMTAR PULP & PAPER PRODUCTS INC,data redacted,1 DUKE ST  DRYDEN ON P8N 3J7 CA,DOMTAR PULP & PAPER PRODUCTS INC,"PO BOX 3001  DRYDEN, ON, P8N 2Z7, CA",data redacted
