ElevatingDevicesNumber,Latest_INSPECTION_Date,outcome_class,prior_pass_count,prior_followup_count,prior_fail_count,days_since_last_inspection,rolling_pass_rate,prior_order_count,prior_mean_riskscore,alteration_count,device_type_Freight Elevator,device_type_LULA Elevator,device_type_Observation Elevator,device_type_Other,device_type_Passenger Elevator,device_type_nan,prior_outcome_Fail,prior_outcome_Follow Up,prior_outcome_Other,prior_outcome_Pass,prior_outcome_nan
17702,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
20330,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,True,False,False,False,False,False,False,False,False,False,True
39953,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
39953,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
32802,2011-01-10,Fail,0,0,1,5.0,0.0,0,15.0,1,False,False,False,False,True,False,True,False,False,False,False
17556,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,True,False,False,False,False,False,False,False,False,False,True
9247,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
82848,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
9247,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
37592,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,3,False,False,False,False,True,False,False,False,False,False,True
14269,2011-01-10,Pass,0,0,0,,0.0,0,15.0,3,True,False,False,False,False,False,False,False,False,False,True
37591,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,3,False,False,False,False,True,False,False,False,False,False,True
21698,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
28396,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
88628,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
17417,2011-01-10,Fail,0,0,0,,0.0,0,15.0,1,True,False,False,False,False,False,False,False,False,False,True
29496,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
29497,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
78120,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
65900,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
30163,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
70258,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
87977,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
87978,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
27900,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
8128,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
68477,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
68248,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
68476,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
75834,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
64496353,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
78119,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
14076,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
33176,2011-01-10,Follow Up,0,0,1,4.0,0.0,0,15.0,0,False,False,False,False,True,False,True,False,False,False,False
84113,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
64492404,2011-01-10,Fail,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
76553,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,3,False,False,False,False,True,False,False,False,False,False,True
17893,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
27901,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
86390,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
38757,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
4686,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
70749,2011-01-10,Follow Up,0,1,0,6.0,0.0,0,15.0,2,False,False,False,False,True,False,False,True,False,False,False
17399,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
86391,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
19986,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,3,False,False,False,False,True,False,False,False,False,False,True
14074,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
17892,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
88610,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
14075,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
84114,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
86823,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
32939,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,False,True,False,False,False,False,True
32939,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,False,True,False,False,False,False,True
16533,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
35032,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
38645,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
35071,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
35069,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
66808,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
23933,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
23934,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
32278,2011-01-10,Pass,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
35068,2011-01-10,Fail,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
32374,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
35070,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
32279,2011-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
19987,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,4,False,False,False,False,True,False,False,False,False,False,True
32385,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
81416,2011-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,False,True,False,False,False,False,True
22479,2011-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
81688,2012-01-10,Follow Up,0,1,0,1.0,0.0,0,15.0,2,False,False,False,False,True,False,False,True,False,False,False
88008,2012-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,True,False,False,False,False,False,False,False,False,True
28647,2012-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
22567,2012-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
64506324,2012-01-10,Pass,0,0,0,,0.0,0,15.0,0,False,True,False,False,False,False,False,False,False,False,True
83011,2012-01-10,Follow Up,0,1,0,20.0,0.0,0,15.0,0,False,False,False,False,True,False,False,True,False,False,False
64513698,2012-01-10,Fail,0,0,1,20.0,0.0,0,15.0,0,False,False,False,False,True,False,True,False,False,False,False
87920,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,2,False,False,False,False,True,False,False,False,False,False,True
64793,2012-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
61673,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
30515,2012-01-10,Follow Up,0,1,0,29.0,0.0,0,15.0,1,False,False,False,False,True,False,False,True,False,False,False
62065,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
21403,2012-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
9629,2012-01-10,Pass,0,1,0,81.0,0.0,0,15.0,3,False,False,False,False,True,False,False,True,False,False,False
88648,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,True,False,False,False,False,False,False,False,False,True
20373,2012-01-10,Pass,0,0,0,,0.0,0,15.0,1,False,False,False,False,True,False,False,False,False,False,True
38418,2012-01-10,Follow Up,1,2,0,46.0,0.3333333333333333,8,15.0,3,False,False,False,False,True,False,False,True,False,False,False
64506057,2012-01-10,Follow Up,0,0,0,,0.0,0,15.0,0,False,False,False,False,True,False,False,False,False,False,True
38419,2012-01-10,Follow Up,1,2,0,46.0,0.3333333333333333,5,16.4,2,False,False,False,False,True,False,False,True,False,False,False
65849,2012-01-10,Pass,0,1,0,343.0,0.0,0,15.0,3,False,False,False,False,True,False,False,True,False,False,False
65845,2012-01-10,Pass,0,1,0,341.0,0.0,0,15.0,2,False,False,False,False,True,False,False,True,False,False,False
2310,2012-01-10,Pass,0,1,0,81.0,0.0,0,15.0,3,False,False,False,False,True,False,False,True,False,False,False
